"ID","info","inCore","count","MK-ID"
"Dalrymple Dg, 1973, CONTROLLED ENV AGR G","Dalrymple Dg, 1973, CONTROLLED ENV AGR G",False,2,"None"
"Harrison Ja, 2013, J FOOD PROTECT","Harrison Ja, 2013, J FOOD PROTECT, V76, P1989",False,1,"None"
"Jones J B, 2005, HYDROPONICS PRACTICA","Jones J B, 2005, HYDROPONICS PRACTICA",False,2,"None"
"Lewis Wm, 1978, T AM FISH SOC","Lewis Wm, 1978, T AM FISH SOC, V107, P92",False,12,"None"
"Love Dc, 2014, PLOS ONE","WOS:000341306600090, Love David C., An International Survey of Aquaponics Practitioners, PLOS ONE, 9",True,8,"WOS:000341306600090"
"Low S A, 2011, DIRECT INTERMEDIATED","Low S A, 2011, DIRECT INTERMEDIATED, P1",False,1,"None"
"Naegel Lca, 1977, AQUACULTURE","WOS:A1977CV88700002, NAEGEL LCA, COMBINED PRODUCTION OF FISH AND PLANTS IN RECIRCULATING WATER, AQUACULTURE, 10, 17",True,14,"WOS:A1977CV88700002"
"Nmfs, 2013, FISH US 2012","Nmfs, 2013, FISH US 2012",False,1,"None"
"Prusky D, 2011, FOOD SECUR","Prusky D, 2011, FOOD SECUR, V3, P463",False,1,"None"
"Rakocy J, 2006, RECIRCULATING AQUACU","Rakocy J, 2006, RECIRCULATING AQUACU",False,2,"None"
"Rakocy Je, 2012, AQUACULTURE PRODUCTI","Rakocy Je, 2012, AQUACULTURE PRODUCTI, P344",False,9,"None"
"Sneed K, 1975, AQUACULTURE FISH FAR","Sneed K, 1975, AQUACULTURE FISH FAR, V2, P18",False,5,"None"
"Tyson R, 2009, HYDROPONIC VEGETABLE","Tyson R, 2009, HYDROPONIC VEGETABLE, P1",False,1,"None"
"Usda, 2009, EXPL ALT FARM DEF","Usda, 2009, EXPL ALT FARM DEF",False,1,"None"
"Usda, 2006, USDA SPEC STUD","Usda, 2006, USDA SPEC STUD, V3",False,1,"None"
"Watten Bj, 1984, AQUACULTURE","Watten Bj, 1984, AQUACULTURE, V41, P271",False,13,"None"
"Anbar Ad, 2002, SCIENCE","Anbar Ad, 2002, SCIENCE, V297, P1137",False,1,"None"
"Anbar Ad, 2007, SCIENCE","Anbar Ad, 2007, SCIENCE, V317, P1903",False,1,"None"
"Batjes Nh, 1996, EUR J SOIL SCI","Batjes Nh, 1996, EUR J SOIL SCI, V47, P151",False,1,"None"
"Berner R A, 2004, PHANEROZOIC CARBON C","Berner R A, 2004, PHANEROZOIC CARBON C",False,1,"None"
"Berner Ra, 2006, GEOLOGY","Berner Ra, 2006, GEOLOGY, V34, P413",False,1,"None"
"Berner Ra, 2006, GEOCHIM COSMOCHIM AC","Berner Ra, 2006, GEOCHIM COSMOCHIM AC, V70, P5653",False,1,"None"
"Bouwman Af, 1990, SOILS AND THE GREENHOUSE EFFECT","Bouwman Af, 1990, SOILS AND THE GREENHOUSE EFFECT, P61",False,1,"None"
"Brandes Ja, 2008, ASTROBIOLOGY","Brandes Ja, 2008, ASTROBIOLOGY, V8, P1113",False,1,"None"
"Brocks Jj, 2005, NATURE","Brocks Jj, 2005, NATURE, V437, P866",False,1,"None"
"Canfield De, 2005, ADV MAR BIOL","Canfield De, 2005, ADV MAR BIOL, V48, P313",False,1,"None"
"Canfield De, 1998, NATURE","Canfield De, 1998, NATURE, V396, P450",False,1,"None"
"Canfield De, 2006, PHILOS T R SOC B","Canfield De, 2006, PHILOS T R SOC B, V361, P1819",False,1,"None"
"Canfield De, 2008, SCIENCE","Canfield De, 2008, SCIENCE, V321, P949",False,1,"None"
"Capone Dg, 2001, CURR OPIN MICROBIOL","Capone Dg, 2001, CURR OPIN MICROBIOL, V4, P341",False,1,"None"
"Chambers He, 1981, QUINQUEREME","Chambers He, 1981, QUINQUEREME, V4, P291",False,1,"None"
"Codispoti La, 2010, SCIENCE","Codispoti La, 2010, SCIENCE, V327, P1339",False,1,"None"
"Demaneche S, 2009, APPL ENVIRON MICROB","Demaneche S, 2009, APPL ENVIRON MICROB, V75, P534",False,1,"None"
"Diaz Rj, 2008, SCIENCE","Diaz Rj, 2008, SCIENCE, V321, P926",False,1,"None"
"Dore Je, 1998, NATURE","Dore Je, 1998, NATURE, V396, P63",False,1,"None"
"Duce Ra, 2008, SCIENCE","Duce Ra, 2008, SCIENCE, V320, P893",False,1,"None"
"Eady Rr, 1996, CHEM REV","Eady Rr, 1996, CHEM REV, V96, P3013",False,1,"None"
"Falkowski Pg, 2008, PHILOS T R SOC B","Falkowski Pg, 2008, PHILOS T R SOC B, V363, P2705",False,1,"None"
"Falkowski Pg, 2008, SCIENCE","Falkowski Pg, 2008, SCIENCE, V320, P1034",False,1,"None"
