"Source","Target","weight"
"Nishitani, Akihiko","Kawada, Ryoichi",2
"Nishitani, Akihiko","Kojima, Junichi",2
"Kawada, Ryoichi","Kojima, Junichi",2
"Duce, Stephanie","Joyce, Karen E.",2
"Dainys, Justas","Gorfine, Harry",2
"Dainys, Justas","Audzijonyte, Asta",2
"Gorfine, Harry","Audzijonyte, Asta",2
"Bloom, Daniel","Butcher, Paul A.",2
"Bloom, Daniel","Provost, Euan J.",2
"Bloom, Daniel","Kelaher, Brendan P.",2
"Butcher, Paul A.","Colefax, Andrew P.",3
"Butcher, Paul A.","Provost, Euan J.",3
"Butcher, Paul A.","Kelaher, Brendan P.",5
"Butcher, Paul A.","Coleman, Melinda A.",2
"Butcher, Paul A.","Tagliafico, Alejandro",2
"Colefax, Andrew P.","Kelaher, Brendan P.",3
"Colefax, Andrew P.","Tagliafico, Alejandro",2
"Provost, Euan J.","Kelaher, Brendan P.",3
"Provost, Euan J.","Coleman, Melinda A.",2
"Kelaher, Brendan P.","Coleman, Melinda A.",2
"Kelaher, Brendan P.","Tagliafico, Alejandro",2
"Kiszka, Jeremy J.","Heithaus, Michael R.",2
"Reis-Filho, Jose Amorim","Giarrizzo, Tommaso",2
