Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
[No author name available],[No author id available],[No title available],2005,Ecosystems and Human Well-Being: Synthesis,,,,20,,,19010,,,,,[No abstract available],,,,,,,,,,,,,Final,,Scopus,2-s2.0-24144450920
"Alexandratos N., Bruinsma J.",,[No title available],2012,World Agriculture Towards 2030/2050: The 2012 Revision,,,,,,,3032,,,,"Alexandratos, N.; Bruinsma, J.",[No abstract available],,,,,,,,,,,,,Final,,Scopus,2-s2.0-84874377650
"Greenlee L.F., Lawler D.F., Freeman B.D., Marrot B., Moulin P.",26534164100;7005291805;55859868200;14020254400;55392113800;,"Reverse osmosis desalination: Water sources, technology, and today's challenges",2009,Water Research,43,9,,2317,2348,,2471,10.1016/j.watres.2009.03.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-65449138800&doi=10.1016%2fj.watres.2009.03.010&partnerID=40&md5=f4b8ce7f017def1671487c9099d38a54,"The University of Texas at Austin, Center for Energy and Environmental Resources, 10100 Burnet Road, Bldg 133, Austin, TX 78758, United States; The University of Texas at Austin, Department of Civil, Architectural, and Environmental Engineering, 1 University Station C1786, Austin, TX 78712, United States; Université Paul Cézanne, Laboratoire Mécanique, Modélisation et Procédés Propres, Europole l'Arbois-Pavillon Laennec BP80, 13545 Aix en Provence Cedex 4, France","Greenlee, L.F., The University of Texas at Austin, Center for Energy and Environmental Resources, 10100 Burnet Road, Bldg 133, Austin, TX 78758, United States; Lawler, D.F., The University of Texas at Austin, Department of Civil, Architectural, and Environmental Engineering, 1 University Station C1786, Austin, TX 78712, United States; Freeman, B.D., The University of Texas at Austin, Center for Energy and Environmental Resources, 10100 Burnet Road, Bldg 133, Austin, TX 78758, United States; Marrot, B., Université Paul Cézanne, Laboratoire Mécanique, Modélisation et Procédés Propres, Europole l'Arbois-Pavillon Laennec BP80, 13545 Aix en Provence Cedex 4, France; Moulin, P., Université Paul Cézanne, Laboratoire Mécanique, Modélisation et Procédés Propres, Europole l'Arbois-Pavillon Laennec BP80, 13545 Aix en Provence Cedex 4, France","Reverse osmosis membrane technology has developed over the past 40 years to a 44% share in world desalting production capacity, and an 80% share in the total number of desalination plants installed worldwide. The use of membrane desalination has increased as materials have improved and costs have decreased. Today, reverse osmosis membranes are the leading technology for new desalination installations, and they are applied to a variety of salt water resources using tailored pretreatment and membrane system design. Two distinct branches of reverse osmosis desalination have emerged: seawater reverse osmosis and brackish water reverse osmosis. Differences between the two water sources, including foulants, salinity, waste brine (concentrate) disposal options, and plant location, have created significant differences in process development, implementation, and key technical problems. Pretreatment options are similar for both types of reverse osmosis and depend on the specific components of the water source. Both brackish water and seawater reverse osmosis (RO) will continue to be used worldwide; new technology in energy recovery and renewable energy, as well as innovative plant design, will allow greater use of desalination for inland and rural communities, while providing more affordable water for large coastal cities. A wide variety of research and general information on RO desalination is available; however, a direct comparison of seawater and brackish water RO systems is necessary to highlight similarities and differences in process development. This article brings to light key parameters of an RO process and process modifications due to feed water characteristics. © 2009 Elsevier Ltd. All rights reserved.",Brackish water; Desalination; Drinking water; Membranes; Reverse osmosis; Seawater,Desalination; Membrane technology; Membranes; Potable water; Reverse osmosis; Seawater; Waste disposal; Water resources; Brackish water; Brackish water reverse osmosis; General information; Membrane desalination; Process modifications; Production capacity; Reverse osmosis desalination; Seawater reverse osmosis; Osmosis membranes; sea water; brackish water; desalination; membrane; osmosis; renewable resource; seawater; desalination; energy recovery; membrane technology; priority journal; process development; renewable energy; reverse osmosis; review; rural area; salinity; seashore; water supply,"Moulin, P.; Université Paul Cézanne, Europole l'Arbois-Pavillon Laennec BP80, 13545 Aix en Provence Cedex 4, France; email: philippe.moulin@univ-cezanne.fr",,Elsevier Ltd,431354,,WATRA,19371922,English,Water Res.,Review,Final,,Scopus,2-s2.0-65449138800
"Bulgarelli D., Schlaeppi K., Spaepen S., Van Themaat E.V.L., Schulze-Lefert P.",24365798300;24598181600;22951784000;15066206000;7005105217;,Structure and functions of the bacterial microbiota of plants,2013,Annual Review of Plant Biology,64,,,807,838,,1913,10.1146/annurev-arplant-050312-120106,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877643132&doi=10.1146%2fannurev-arplant-050312-120106&partnerID=40&md5=bb74b928285ec71d7f3bb830efa15873,"Max Planck Institute for Plant Breeding Research, D-50829 Cologne, Germany; Centre of Microbial and Plant Genetics, KU Leuven, B-3001 Heverlee, Belgium","Bulgarelli, D., Max Planck Institute for Plant Breeding Research, D-50829 Cologne, Germany; Schlaeppi, K., Max Planck Institute for Plant Breeding Research, D-50829 Cologne, Germany; Spaepen, S., Max Planck Institute for Plant Breeding Research, D-50829 Cologne, Germany, Centre of Microbial and Plant Genetics, KU Leuven, B-3001 Heverlee, Belgium; Van Themaat, E.V.L., Max Planck Institute for Plant Breeding Research, D-50829 Cologne, Germany; Schulze-Lefert, P., Max Planck Institute for Plant Breeding Research, D-50829 Cologne, Germany","Plants host distinct bacterial communities on and inside various plant organs, of which those associated with roots and the leaf surface are best characterized. The phylogenetic composition of these communities is defined by relatively few bacterial phyla, including Actinobacteria, Bacteroidetes, Firmicutes, and Proteobacteria. A synthesis of available data suggests a two-step selection process by which the bacterial microbiota of roots is differentiated from the surrounding soil biome. Rhizodeposition appears to fuel an initial substrate-driven community shift in the rhizosphere, which converges with host genotype-dependent fine-tuning of microbiota profiles in the selection of root endophyte assemblages. Substrate-driven selection also underlies the establishment of phyllosphere communities but takes place solely at the immediate leaf surface. Both the leaf and root microbiota contain bacteria that provide indirect pathogen protection, but root microbiota members appear to serve additional host functions through the acquisition of nutrients from soil for plant growth. Thus, the plant microbiota emerges as a fundamental trait that includes mutualism enabled through diverse biochemical mechanisms, as revealed by studies on plant growth-promoting and plant health-promoting bacteria. © Copyright ©2013 by Annual Reviews. All rights reserved.",Endophyte; Phyllosphere; Plant growth-promoting rhizobacteria; Plant innate immunity; Rhizodeposition; Rhizosphere,bacterium; classification; genetics; metabolism; metagenome; microbiology; phylogeny; plant; plant root; review; rhizosphere; symbiosis; Bacteria; Metagenome; Phylogeny; Plant Roots; Plants; Rhizosphere; Soil Microbiology; Symbiosis,"Max Planck Institute for Plant Breeding Research, D-50829 Cologne, Germany",,,15435008,,ARPBD,23373698,English,Annu. Rev. Plant Biol.,Review,Final,,Scopus,2-s2.0-84877643132
[No author name available],[No author id available],[No title available],1999,Statistical Yearbook,,,,,,,1643,,,,,[No abstract available],,,,,,,,,,,,,,,Scopus,2-s2.0-0004274637
FAO,,[No title available],2012,The State of World Fisheries and Aquaculture,,,,,,,1157,,,,FAO,[No abstract available],,,,,,,,,,,,,Final,,Scopus,2-s2.0-84867844606
Van Huis A.,7003540640;,Potential of insects as food and feed in assuring food security,2013,Annual Review of Entomology,58,,,563,583,,1098,10.1146/annurev-ento-120811-153704,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873860862&doi=10.1146%2fannurev-ento-120811-153704&partnerID=40&md5=f0dabef3ebcae999b02640a537d9c763,"Laboratory of Entomology, Wageningen University, Wageningen 6700 EH, Netherlands","Van Huis, A., Laboratory of Entomology, Wageningen University, Wageningen 6700 EH, Netherlands","With a growing world population and increasingly demanding consumers, the production of sufficient protein from livestock, poultry, and fish represents a serious challenge for the future. Approximately 1,900 insect species are eaten worldwide, mainly in developing countries. They constitute quality food and feed, have high feed conversion ratios, and emit low levels of greenhouse gases. Some insect species can be grown on organic side streams, reducing environmental contamination and transforming waste into high-protein feed that can replace increasingly more expensive compound feed ingredients, such as fish meal. This requires the development of cost-effective, automated mass-rearing facilities that provide a reliable, stable, and safe product. In the tropics, sustainable harvesting needs to be assured and rearing practices promoted, and in general, the food resource needs to be revalorized. In the Western world, consumer acceptability will relate to pricing, perceived environmental benefits, and the development of tasty insect-derived protein products. © 2013 by Annual Reviews. All rights reserved.",bioconversion; entomophagy; feed conversion ratio; mass rearing; mini-livestock; nutrition,animal; animal food; animal husbandry; aquaculture; catering service; diet; environmental protection; human; insect; review; Animal Feed; Animal Husbandry; Animals; Aquaculture; Conservation of Natural Resources; Diet; Food Supply; Humans; Insects,"Van Huis, A.; Laboratory of Entomology, , Wageningen 6700 EH, Netherlands; email: arnold.vanhuis@wur.nl",,,664170,,ARENA,23020616,English,Ann. Rev. Entomol.,Review,Final,,Scopus,2-s2.0-84873860862
"Kampschreur M.J., Temmink H., Kleerebezem R., Jetten M.S.M., van Loosdrecht M.C.M.",12242913100;6603080520;6604011899;7005813975;7004463801;,Nitrous oxide emission during wastewater treatment,2009,Water Research,43,17,,4093,4103,,1060,10.1016/j.watres.2009.03.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-69949100728&doi=10.1016%2fj.watres.2009.03.001&partnerID=40&md5=a44e9fe64f6339b31142994ac825c077,"Delft University of Technology, Department of Biotechnology, Julianalaan 67, 2628 BC Delft, Netherlands; Wageningen University, Research Center, Department of Agrotechnology and Food Sciences, Bomenweg 2, 6703 HD Wageningen, Netherlands; Radboud University Nijmegen, IWWR, Department of Microbiology, Toernooiveld 1, 6525 ED Nijmegen, Netherlands","Kampschreur, M.J., Delft University of Technology, Department of Biotechnology, Julianalaan 67, 2628 BC Delft, Netherlands; Temmink, H., Wageningen University, Research Center, Department of Agrotechnology and Food Sciences, Bomenweg 2, 6703 HD Wageningen, Netherlands; Kleerebezem, R., Delft University of Technology, Department of Biotechnology, Julianalaan 67, 2628 BC Delft, Netherlands; Jetten, M.S.M., Delft University of Technology, Department of Biotechnology, Julianalaan 67, 2628 BC Delft, Netherlands, Radboud University Nijmegen, IWWR, Department of Microbiology, Toernooiveld 1, 6525 ED Nijmegen, Netherlands; van Loosdrecht, M.C.M., Delft University of Technology, Department of Biotechnology, Julianalaan 67, 2628 BC Delft, Netherlands","Nitrous oxide (N2O), a potent greenhouse gas, can be emitted during wastewater treatment, significantly contributing to the greenhouse gas footprint. Measurements at lab-scale and full-scale wastewater treatment plants (WWTPs) have demonstrated that N2O can be emitted in substantial amounts during nitrogen removal in WWTPs, however, a large variation in reported emission values exists. Analysis of literature data enabled the identification of the most important operational parameters leading to N2O emission in WWTPs: (i) low dissolved oxygen concentration in the nitrification and denitrification stages, (ii) increased nitrite concentrations in both nitrification and denitrification stages, and (iii) low COD/N ratio in the denitrification stage. From the literature it remains unclear whether nitrifying or denitrifying microorganisms are the main source of N2O emissions. Operational strategies to prevent N2O emission from WWTPs are discussed and areas in which further research is urgently required are identified. © 2009 Elsevier Ltd. All rights reserved.",Denitrification; Greenhouse gas emission; Nitric oxide; Nitrification; Nitrous oxide; Wastewater treatment,Denitrification; Dissolved oxygen; Greenhouse gases; Nitric oxide; Nitrification; Nitrogen oxides; Nitrogen removal; Reclamation; Denitrifying microorganisms; Low dissolved oxygen; Nitrification and denitrification; Nitrous oxide; Nitrous oxide emissions; Operational parameters; Operational strategies; Wastewater treatment plants; Wastewater treatment; nitrite; nitrogen; nitrous oxide; oxygen; chemical oxygen demand; concentration (composition); denitrification; dissolved oxygen; greenhouse gas; laboratory method; nitric oxide; nitrous oxide; parameterization; wastewater; water treatment; aerobic capacity; air pollution control; bacterium culture; chemical oxygen demand; concentration (parameters); data analysis; denitrification; greenhouse gas; microorganism; nitrification; Nitrosomonas europaea; nitrous oxide emission; nonhuman; priority journal; review; waste component removal; waste water management; waste water treatment plant,"Kampschreur, M.J.; Delft University of Technology, Julianalaan 67, 2628 BC Delft, Netherlands; email: m.j.kampschreur@tudelft.nl",,Elsevier Ltd,431354,,WATRA,19666183,English,Water Res.,Review,Final,,Scopus,2-s2.0-69949100728
[No author name available],[No author id available],[No title available],2012,The United Nations World Water Development Report 4: Managing Water under Uncertainty and Risk,,,,,,,890,,,,,[No abstract available],,,,,,,,,,,,,Final,,Scopus,2-s2.0-84863650064
Gilbert N.,35200754900;,The disappearing nutrient,2009,Nature,461,7265,,716,718,,686,10.1038/461716a,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349947030&doi=10.1038%2f461716a&partnerID=40&md5=f89df90c12fb920a2cc7d06155768e2a,,"Gilbert, N.",[No abstract available],,"phosphate fertilizer; struvite; fertilizer; magnesium derivative; phosphate; agricultural practice; fertilizer; food security; food supply; nutrient availability; phosphate rock; plant community; recycling; soil nutrient; struvite; technological development; waste facility; food security; manure; plant nutrient; priority journal; short survey; water treatment; agriculture; animal; catering service; chemistry; domestic animal; economics; international cooperation; isolation and purification; manure; metabolism; methodology; note; statistics; uncertainty; utilization review; Agriculture; Animals; Animals, Domestic; Fertilizers; Food Supply; Internationality; Magnesium Compounds; Manure; Phosphates; Uncertainty",,,,280836,,NATUA,19812648,English,Nature,Short Survey,Final,,Scopus,2-s2.0-70349947030
